SampleLabel,Date,Aquarium,Tank,NutLevel,Days,Substrate,DOC,fDOM,InputDOC,InputfDOM,SourceDOC,SourcefDOM,Slope
T1_A_N0,11/5/2015,2,1,Ambient,14,Algae,71.67,30.65536602,70.54,44.05841747,69.12,38.99497295,0.01127489
T2_A_N0,11/5/2015,14,2,Ambient,14,Algae,69.62,42.5666488,68.62,47.08909747,69.12,38.99497295,0.009787325
T3_A_N0,11/5/2015,26,3,Ambient,14,Algae,69.07,47.9138968,66.64,38.52192537,69.12,38.99497295,0.05292607
T1_A_N2,11/5/2015,6,1,Med,14,Algae,76.09,37.11066899,72.65,42.87653608,69.12,38.99497295,0.02117125
T2_A_N2,11/5/2015,18,2,Med,14,Algae,71.78,38.29553284,69.72,40.47726814,69.12,38.99497295,0.04456066
T3_A_N2,11/5/2015,30,3,Med,14,Algae,76.28,48.90327826,71.56,45.60706336,69.12,38.99497295,0.02600336
T1_A_N4,11/5/2015,10,1,High,14,Algae,82.52,44.81666292,71.44,43.95629337,69.12,38.99497295,-0.01260685
T2_A_N4,11/5/2015,22,2,High,14,Algae,72.92,43.6343225,68.7,42.37715435,69.12,38.99497295,-0.02138487
T3_A_N4,11/5/2015,34,3,High,14,Algae,81.75,63.29133252,73.6,45.43829743,69.12,38.99497295,-0.06837308
T1_C_N0,11/5/2015,1,1,Ambient,14,Coral,83.64,44.37480447,70.54,44.05841747,69.12,38.99497295,0.13436644
T2_C_N0,11/5/2015,13,2,Ambient,14,Coral,77.76,53.32432089,68.62,47.08909747,69.12,38.99497295,0.198179825
T3_C_N0,11/5/2015,25,3,Ambient,14,Coral,92.88,83.01469856,66.64,38.52192537,69.12,38.99497295,0.18233653
T1_C_N2,11/5/2015,5,1,Med,14,Coral,82.06,68.35214978,72.65,42.87653608,69.12,38.99497295,0.10819854
T2_C_N2,11/5/2015,17,2,Med,14,Coral,70.71,53.65268531,69.72,40.47726814,69.12,38.99497295,0.14834438
T3_C_N2,11/5/2015,29,3,Med,14,Coral,83.97,65.21204907,71.56,45.60706336,69.12,38.99497295,0.17414209
T1_C_N4,11/5/2015,9,1,High,14,Coral,124.13,80.55883239,71.44,43.95629337,69.12,38.99497295,0.10090468
T2_C_N4,11/5/2015,21,2,High,14,Coral,95.62,84.78367644,68.7,42.37715435,69.12,38.99497295,0.0478299
T3_C_N4,11/5/2015,33,3,High,14,Coral,90.11,69.61628898,73.6,45.43829743,69.12,38.99497295,0.04369026
T1_R_N0,11/5/2015,3,1,Ambient,14,Rubble,76.26,43.31738629,70.54,44.05841747,69.12,38.99497295,0.44649424
T2_R_N0,11/5/2015,15,2,Ambient,14,Rubble,68.17,34.15544515,68.62,47.08909747,69.12,38.99497295,0.550840728
T3_R_N0,11/5/2015,27,3,Ambient,14,Rubble,65.27,41.7443474,66.64,38.52192537,69.12,38.99497295,0.41166035
T1_R_N2,11/5/2015,7,1,Med,14,Rubble,77.19,49.61691372,72.65,42.87653608,69.12,38.99497295,0.14513055
T2_R_N2,11/5/2015,19,2,Med,14,Rubble,72.33,45.23287114,69.72,40.47726814,69.12,38.99497295,0.17992696
T3_R_N2,11/5/2015,31,3,Med,14,Rubble,70.54,57.64652604,71.56,45.60706336,69.12,38.99497295,0.27675488
T1_R_N4,11/5/2015,11,1,High,14,Rubble,75.05,60.28400382,71.44,43.95629337,69.12,38.99497295,0.10057687
T2_R_N4,11/5/2015,23,2,High,14,Rubble,72.81,61.23039529,68.7,42.37715435,69.12,38.99497295,0.05126971
T3_R_N4,11/5/2015,35,3,High,14,Rubble,78.67,68.17111441,73.6,45.43829743,69.12,38.99497295,-0.01724887
T1_S_N0,11/5/2015,4,1,Ambient,14,Sand,72.3,35.89649078,70.54,44.05841747,69.12,38.99497295,0.09841074
T2_S_N0,11/5/2015,16,2,Ambient,14,Sand,68.38,40.80266561,68.62,47.08909747,69.12,38.99497295,0.1082593
T3_S_N0,11/5/2015,28,3,Ambient,14,Sand,63.73,40.14380791,66.64,38.52192537,69.12,38.99497295,0.14880322
T1_S_N2,11/5/2015,8,1,Med,14,Sand,75.67,45.2602934,72.65,42.87653608,69.12,38.99497295,0.0784869
T2_S_N2,11/5/2015,20,2,Med,14,Sand,78.11,42.32415114,69.72,40.47726814,69.12,38.99497295,0.09234246
T3_S_N2,11/5/2015,32,3,Med,14,Sand,76.17,86.84820599,71.56,45.60706336,69.12,38.99497295,0.08816073
T1_S_N4,11/5/2015,12,1,High,14,Sand,79.78,44.36442356,71.44,43.95629337,69.12,38.99497295,0.03368365
T2_S_N4,11/5/2015,24,2,High,14,Sand,84.04,51.69521366,68.7,42.37715435,69.12,38.99497295,0.0375546
T3_S_N4,11/5/2015,36,3,High,14,Sand,78.5,56.57239774,73.6,45.43829743,69.12,38.99497295,0.03453707
T1_A_N0,11/19/2015,2,1,Ambient,28,Algae,88.05,36.8520245,72.28,20.92064994,63.52,51.37348273,0.01127489
T2_A_N0,11/19/2015,14,2,Ambient,28,Algae,75.14,49.825324,70.07,19.66270954,63.52,51.37348273,0.009787325
T3_A_N0,11/19/2015,26,3,Ambient,28,Algae,74.36,43.23798594,67.87,22.962039,63.52,51.37348273,0.05292607
T1_A_N2,11/19/2015,6,1,Med,28,Algae,83.65,31.51181063,76.87,77.32877977,63.52,51.37348273,0.02117125
T2_A_N2,11/19/2015,18,2,Med,28,Algae,83.57,53.65476029,79.21,28.57273309,63.52,51.37348273,0.04456066
T3_A_N2,11/19/2015,30,3,Med,28,Algae,113.93,99.93526911,81.35,33.06854118,63.52,51.37348273,0.02600336
T1_A_N4,11/19/2015,10,1,High,28,Algae,87.08,46.63638229,97.51,45.32806406,63.52,51.37348273,-0.01260685
T2_A_N4,11/19/2015,22,2,High,28,Algae,149.14,157.0905846,103.58,45.15643171,63.52,51.37348273,-0.02138487
T3_A_N4,11/19/2015,34,3,High,28,Algae,82.35,56.80178179,94.15,81.01893029,63.52,51.37348273,-0.06837308
T1_C_N0,11/19/2015,1,1,Ambient,28,Coral,74.93,24.31163747,72.28,20.92064994,63.52,51.37348273,0.13436644
T2_C_N0,11/19/2015,13,2,Ambient,28,Coral,75.83,48.35730924,70.07,19.66270954,63.52,51.37348273,0.198179825
T3_C_N0,11/19/2015,25,3,Ambient,28,Coral,72.64,45.74764211,67.87,22.962039,63.52,51.37348273,0.18233653
T1_C_N2,11/19/2015,5,1,Med,28,Coral,93.33,72.15890457,76.87,77.32877977,63.52,51.37348273,0.10819854
T2_C_N2,11/19/2015,17,2,Med,28,Coral,101.87,55.89071329,79.21,28.57273309,63.52,51.37348273,0.14834438
T3_C_N2,11/19/2015,29,3,Med,28,Coral,93.04,63.60114551,81.35,33.06854118,63.52,51.37348273,0.17414209
T1_C_N4,11/19/2015,9,1,High,28,Coral,90.53,39.02064999,97.51,45.32806406,63.52,51.37348273,0.10090468
T2_C_N4,11/19/2015,21,2,High,28,Coral,78.32,65.79537584,103.58,45.15643171,63.52,51.37348273,0.0478299
T3_C_N4,11/19/2015,33,3,High,28,Coral,97.79,63.40166112,94.15,81.01893029,63.52,51.37348273,0.04369026
T1_R_N0,11/19/2015,3,1,Ambient,28,Rubble,77.07,29.46588629,72.28,20.92064994,63.52,51.37348273,0.44649424
T2_R_N0,11/19/2015,15,2,Ambient,28,Rubble,67.31,39.13464428,70.07,19.66270954,63.52,51.37348273,0.550840728
T3_R_N0,11/19/2015,27,3,Ambient,28,Rubble,74.42,60.03649462,67.87,22.962039,63.52,51.37348273,0.41166035
T1_R_N2,11/19/2015,7,1,Med,28,Rubble,73.59,54.29492973,76.87,77.32877977,63.52,51.37348273,0.14513055
T2_R_N2,11/19/2015,19,2,Med,28,Rubble,76.67,51.4456062,79.21,28.57273309,63.52,51.37348273,0.17992696
T3_R_N2,11/19/2015,31,3,Med,28,Rubble,74.59,61.45164506,81.35,33.06854118,63.52,51.37348273,0.27675488
T1_R_N4,11/19/2015,11,1,High,28,Rubble,74.95,59.10719387,97.51,45.32806406,63.52,51.37348273,0.10057687
T2_R_N4,11/19/2015,23,2,High,28,Rubble,76.7,57.94878869,103.58,45.15643171,63.52,51.37348273,0.05126971
T3_R_N4,11/19/2015,35,3,High,28,Rubble,74.97,59.80642218,94.15,81.01893029,63.52,51.37348273,-0.01724887
T1_S_N0,11/19/2015,4,1,Ambient,28,Sand,76.87,48.44104377,72.28,20.92064994,63.52,51.37348273,0.09841074
T2_S_N0,11/19/2015,16,2,Ambient,28,Sand,72.12,39.90408334,70.07,19.66270954,63.52,51.37348273,0.1082593
T3_S_N0,11/19/2015,28,3,Ambient,28,Sand,75.45,45.69944533,67.87,22.962039,63.52,51.37348273,0.14880322
T1_S_N2,11/19/2015,8,1,Med,28,Sand,80.38,62.36313785,76.87,77.32877977,63.52,51.37348273,0.0784869
T2_S_N2,11/19/2015,20,2,Med,28,Sand,80.62,49.93404457,79.21,28.57273309,63.52,51.37348273,0.09234246
T3_S_N2,11/19/2015,32,3,Med,28,Sand,75.68,43.60451436,81.35,33.06854118,63.52,51.37348273,0.08816073
T1_S_N4,11/19/2015,12,1,High,28,Sand,98.58,59.31756539,97.51,45.32806406,63.52,51.37348273,0.03368365
T2_S_N4,11/19/2015,24,2,High,28,Sand,136.66,67.16811565,103.58,45.15643171,63.52,51.37348273,0.0375546
T3_S_N4,11/19/2015,36,3,High,28,Sand,89.85,43.35010181,94.15,81.01893029,63.52,51.37348273,0.03453707
