Scan No ,Date,Time,Raw Value,Calibrated
1673,18/12/2015 , 23:45:00,31,31
1674,18/12/2015 , 24:00:00,30,30
1675,19/12/2015 , 00:15:00,31,31
1676,19/12/2015 , 00:30:00,30,30
1677,19/12/2015 , 00:45:00,30,30
1678,19/12/2015 , 01:00:00,30,30
1679,19/12/2015 , 01:15:00,31,31
1680,19/12/2015 , 01:30:00,30,30
1681,19/12/2015 , 01:45:00,31,31
1682,19/12/2015 , 02:00:00,32,32
1683,19/12/2015 , 02:15:00,30,30
1684,19/12/2015 , 02:30:00,31,31
1685,19/12/2015 , 02:45:00,31,31
1686,19/12/2015 , 03:00:00,31,31
1687,19/12/2015 , 03:15:00,31,31
1688,19/12/2015 , 03:30:00,30,30
1689,19/12/2015 , 03:45:00,31,31
1690,19/12/2015 , 04:00:00,31,31
1691,19/12/2015 , 04:15:00,30,30
1692,19/12/2015 , 04:30:00,31,31
1693,19/12/2015 , 04:45:00,30,30
1694,19/12/2015 , 05:00:00,31,31
1695,19/12/2015 , 05:15:00,30,30
1696,19/12/2015 , 05:30:00,31,31
1697,19/12/2015 , 05:45:00,30,30
1698,19/12/2015 , 06:00:00,31,31
1699,19/12/2015 , 06:15:00,30,30
1700,19/12/2015 , 06:30:00,31,31
1701,19/12/2015 , 06:45:00,30,30
1702,19/12/2015 , 07:00:00,36,36
1703,19/12/2015 , 07:15:00,76,76
1704,19/12/2015 , 07:30:00,240,240
1705,19/12/2015 , 07:45:00,332,332
1706,19/12/2015 , 08:00:00,694,694
1707,19/12/2015 , 08:15:00,708,708
1708,19/12/2015 , 08:30:00,735,735
1709,19/12/2015 , 08:45:00,576,576
1710,19/12/2015 , 09:00:00,668,668
1711,19/12/2015 , 09:15:00,3093,3093
1712,19/12/2015 , 09:30:00,3940,3940
1713,19/12/2015 , 09:45:00,3483,3483
1714,19/12/2015 , 10:00:00,3701,3701
1715,19/12/2015 , 10:15:00,4485,4485
1716,19/12/2015 , 10:30:00,3380,3380
1717,19/12/2015 , 10:45:00,5719,5719
1718,19/12/2015 , 11:00:00,2804,2804
1719,19/12/2015 , 11:15:00,5255,5255
1720,19/12/2015 , 11:30:00,7567,7567
1721,19/12/2015 , 11:45:00,5982,5982
1722,19/12/2015 , 12:00:00,4668,4668
1723,19/12/2015 , 12:15:00,7553,7553
1724,19/12/2015 , 12:30:00,8001,8001
1725,19/12/2015 , 12:45:00,7244,7244
1726,19/12/2015 , 13:00:00,6436,6436
1727,19/12/2015 , 13:15:00,4362,4362
1728,19/12/2015 , 13:30:00,2943,2943
1729,19/12/2015 , 13:45:00,2740,2740
1730,19/12/2015 , 14:00:00,1516,1516
1731,19/12/2015 , 14:15:00,2011,2011
1732,19/12/2015 , 14:30:00,2684,2684
1733,19/12/2015 , 14:45:00,2514,2514
1734,19/12/2015 , 15:00:00,3015,3015
1735,19/12/2015 , 15:15:00,2827,2827
1736,19/12/2015 , 15:30:00,2291,2291
1737,19/12/2015 , 15:45:00,1615,1615
1738,19/12/2015 , 16:00:00,1186,1186
1739,19/12/2015 , 16:15:00,1037,1037
1740,19/12/2015 , 16:30:00,1000,1000
1741,19/12/2015 , 16:45:00,725,725
1742,19/12/2015 , 17:00:00,445,445
1743,19/12/2015 , 17:15:00,593,593
1744,19/12/2015 , 17:30:00,389,389
1745,19/12/2015 , 17:45:00,223,223
1746,19/12/2015 , 18:00:00,117,117
1747,19/12/2015 , 18:15:00,44,44
1748,19/12/2015 , 18:30:00,34,34
1749,19/12/2015 , 18:45:00,35,35
1750,19/12/2015 , 19:00:00,35,35
1751,19/12/2015 , 19:15:00,35,35
1752,19/12/2015 , 19:30:00,35,35
1753,19/12/2015 , 19:45:00,34,34
1754,19/12/2015 , 20:00:00,34,34
1755,19/12/2015 , 20:15:00,35,35
1756,19/12/2015 , 20:30:00,35,35
1757,19/12/2015 , 20:45:00,35,35
1758,19/12/2015 , 21:00:00,34,34
1759,19/12/2015 , 21:15:00,35,35
1760,19/12/2015 , 21:30:00,34,34
1761,19/12/2015 , 21:45:00,35,35
1762,19/12/2015 , 22:00:00,35,35
1763,19/12/2015 , 22:15:00,35,35
1764,19/12/2015 , 22:30:00,35,35
1765,19/12/2015 , 22:45:00,33,33
1766,19/12/2015 , 23:00:00,34,34
1767,19/12/2015 , 23:15:00,35,35
1768,19/12/2015 , 23:30:00,33,33
1769,19/12/2015 , 23:45:00,34,34
1770,19/12/2015 , 24:00:00,35,35
1771,20/12/2015 , 00:15:00,35,35
1772,20/12/2015 , 00:30:00,34,34
1773,20/12/2015 , 00:45:00,34,34
1774,20/12/2015 , 01:00:00,34,34
1775,20/12/2015 , 01:15:00,34,34
1776,20/12/2015 , 01:30:00,35,35
1777,20/12/2015 , 01:45:00,35,35
1778,20/12/2015 , 02:00:00,35,35
1779,20/12/2015 , 02:15:00,35,35
1780,20/12/2015 , 02:30:00,35,35
1781,20/12/2015 , 02:45:00,35,35
1782,20/12/2015 , 03:00:00,36,36
1783,20/12/2015 , 03:15:00,35,35
1784,20/12/2015 , 03:30:00,34,34
1785,20/12/2015 , 03:45:00,35,35
1786,20/12/2015 , 04:00:00,35,35
1787,20/12/2015 , 04:15:00,34,34
1788,20/12/2015 , 04:30:00,35,35
1789,20/12/2015 , 04:45:00,34,34
1790,20/12/2015 , 05:00:00,34,34
1791,20/12/2015 , 05:15:00,35,35
1792,20/12/2015 , 05:30:00,34,34
1793,20/12/2015 , 05:45:00,35,35
1794,20/12/2015 , 06:00:00,35,35
1795,20/12/2015 , 06:15:00,34,34
1796,20/12/2015 , 06:30:00,34,34
1797,20/12/2015 , 06:45:00,35,35
1798,20/12/2015 , 07:00:00,41,41
1799,20/12/2015 , 07:15:00,96,96
1800,20/12/2015 , 07:30:00,330,330
1801,20/12/2015 , 07:45:00,630,630
1802,20/12/2015 , 08:00:00,526,526
1803,20/12/2015 , 08:15:00,884,884
1804,20/12/2015 , 08:30:00,845,845
1805,20/12/2015 , 08:45:00,1019,1019
1806,20/12/2015 , 09:00:00,532,532
1807,20/12/2015 , 09:15:00,2074,2074
1808,20/12/2015 , 09:30:00,1860,1860
1809,20/12/2015 , 09:45:00,1286,1286
1810,20/12/2015 , 10:00:00,1335,1335
1811,20/12/2015 , 10:15:00,2358,2358
1812,20/12/2015 , 10:30:00,1715,1715
1813,20/12/2015 , 10:45:00,1247,1247
1814,20/12/2015 , 11:00:00,1557,1557
1815,20/12/2015 , 11:15:00,2706,2706
1816,20/12/2015 , 11:30:00,5369,5369
1817,20/12/2015 , 11:45:00,3908,3908
1818,20/12/2015 , 12:00:00,6700,6700
1819,20/12/2015 , 12:15:00,9590,9590
1820,20/12/2015 , 12:30:00,8601,8601
1821,20/12/2015 , 12:45:00,7842,7842
1822,20/12/2015 , 13:00:00,8324,8324
1823,20/12/2015 , 13:15:00,6541,6541
1824,20/12/2015 , 13:30:00,5667,5667
1825,20/12/2015 , 13:45:00,6173,6173
1826,20/12/2015 , 14:00:00,2736,2736
1827,20/12/2015 , 14:15:00,4999,4999
1828,20/12/2015 , 14:30:00,4504,4504
1829,20/12/2015 , 14:45:00,2763,2763
1830,20/12/2015 , 15:00:00,1860,1860
1831,20/12/2015 , 15:15:00,1239,1239
1832,20/12/2015 , 15:30:00,1615,1615
1833,20/12/2015 , 15:45:00,1379,1379
1834,20/12/2015 , 16:00:00,998,998
1835,20/12/2015 , 16:15:00,932,932
1836,20/12/2015 , 16:30:00,1108,1108
1837,20/12/2015 , 16:45:00,514,514
1838,20/12/2015 , 17:00:00,367,367
1839,20/12/2015 , 17:15:00,314,314
1840,20/12/2015 , 17:30:00,199,199
1841,20/12/2015 , 17:45:00,139,139
1842,20/12/2015 , 18:00:00,67,67
1843,20/12/2015 , 18:15:00,32,32
1844,20/12/2015 , 18:30:00,29,29
1845,20/12/2015 , 18:45:00,29,29
1846,20/12/2015 , 19:00:00,29,29
1847,20/12/2015 , 19:15:00,29,29
1848,20/12/2015 , 19:30:00,30,30
1849,20/12/2015 , 19:45:00,30,30
1850,20/12/2015 , 20:00:00,33,33
1851,20/12/2015 , 20:15:00,34,34
1852,20/12/2015 , 20:30:00,34,34
1853,20/12/2015 , 20:45:00,35,35
1854,20/12/2015 , 21:00:00,34,34
1855,20/12/2015 , 21:15:00,34,34
1856,20/12/2015 , 21:30:00,34,34
1857,20/12/2015 , 21:45:00,35,35
1858,20/12/2015 , 22:00:00,34,34
1859,20/12/2015 , 22:15:00,35,35
1860,20/12/2015 , 22:30:00,35,35
1861,20/12/2015 , 22:45:00,35,35
1862,20/12/2015 , 23:00:00,36,36
1863,20/12/2015 , 23:15:00,35,35
1864,20/12/2015 , 23:30:00,35,35
1865,20/12/2015 , 23:45:00,35,35
1866,20/12/2015 , 24:00:00,35,35
1867,21/12/2015 , 00:15:00,35,35
1868,21/12/2015 , 00:30:00,34,34
1869,21/12/2015 , 00:45:00,34,34
1870,21/12/2015 , 01:00:00,35,35
1871,21/12/2015 , 01:15:00,34,34
1872,21/12/2015 , 01:30:00,35,35
1873,21/12/2015 , 01:45:00,35,35
1874,21/12/2015 , 02:00:00,34,34
1875,21/12/2015 , 02:15:00,35,35
1876,21/12/2015 , 02:30:00,35,35
1877,21/12/2015 , 02:45:00,35,35
1878,21/12/2015 , 03:00:00,35,35
1879,21/12/2015 , 03:15:00,35,35
1880,21/12/2015 , 03:30:00,35,35
1881,21/12/2015 , 03:45:00,35,35
1882,21/12/2015 , 04:00:00,35,35
1883,21/12/2015 , 04:15:00,34,34
1884,21/12/2015 , 04:30:00,35,35
1885,21/12/2015 , 04:45:00,35,35
1886,21/12/2015 , 05:00:00,34,34
1887,21/12/2015 , 05:15:00,34,34
1888,21/12/2015 , 05:30:00,35,35
1889,21/12/2015 , 05:45:00,34,34
1890,21/12/2015 , 06:00:00,35,35
1891,21/12/2015 , 06:15:00,34,34
1892,21/12/2015 , 06:30:00,35,35
1893,21/12/2015 , 06:45:00,35,35
1894,21/12/2015 , 07:00:00,41,41
1895,21/12/2015 , 07:15:00,108,108
1896,21/12/2015 , 07:30:00,290,290
1897,21/12/2015 , 07:45:00,661,661
1898,21/12/2015 , 08:00:00,845,845
1899,21/12/2015 , 08:15:00,1140,1140
1900,21/12/2015 , 08:30:00,1238,1238
1901,21/12/2015 , 08:45:00,1303,1303
1902,21/12/2015 , 09:00:00,1690,1690
1903,21/12/2015 , 09:15:00,2810,2810
1904,21/12/2015 , 09:30:00,3174,3174
1905,21/12/2015 , 09:45:00,2502,2502
1906,21/12/2015 , 10:00:00,3789,3789
1907,21/12/2015 , 10:15:00,6604,6604
1908,21/12/2015 , 10:30:00,6319,6319
1909,21/12/2015 , 10:45:00,6097,6097
1910,21/12/2015 , 11:00:00,8801,8801
1911,21/12/2015 , 11:15:00,6195,6195
1912,21/12/2015 , 11:30:00,6057,6057
1913,21/12/2015 , 11:45:00,8390,8390
1914,21/12/2015 , 12:00:00,9305,9305
1915,21/12/2015 , 12:15:00,4701,4701
1916,21/12/2015 , 12:30:00,7349,7349
1917,21/12/2015 , 12:45:00,6606,6606
1918,21/12/2015 , 13:00:00,4683,4683
1919,21/12/2015 , 13:15:00,4819,4819
1920,21/12/2015 , 13:30:00,3637,3637
1921,21/12/2015 , 13:45:00,3371,3371
1922,21/12/2015 , 14:00:00,3697,3697
1923,21/12/2015 , 14:15:00,3213,3213
1924,21/12/2015 , 14:30:00,4618,4618
1925,21/12/2015 , 14:45:00,4026,4026
1926,21/12/2015 , 15:00:00,2287,2287
1927,21/12/2015 , 15:15:00,2382,2382
1928,21/12/2015 , 15:30:00,2360,2360
1929,21/12/2015 , 15:45:00,1414,1414
1930,21/12/2015 , 16:00:00,1270,1270
1931,21/12/2015 , 16:15:00,1294,1294
1932,21/12/2015 , 16:30:00,825,825
1933,21/12/2015 , 16:45:00,691,691
1934,21/12/2015 , 17:00:00,662,662
1935,21/12/2015 , 17:15:00,338,338
1936,21/12/2015 , 17:30:00,266,266
1937,21/12/2015 , 17:45:00,155,155
1938,21/12/2015 , 18:00:00,84,84
1939,21/12/2015 , 18:15:00,43,43
1940,21/12/2015 , 18:30:00,36,36
1941,21/12/2015 , 18:45:00,35,35
1942,21/12/2015 , 19:00:00,36,36
1943,21/12/2015 , 19:15:00,35,35
1944,21/12/2015 , 19:30:00,35,35
1945,21/12/2015 , 19:45:00,35,35
1946,21/12/2015 , 20:00:00,35,35
1947,21/12/2015 , 20:15:00,36,36
1948,21/12/2015 , 20:30:00,35,35
1949,21/12/2015 , 20:45:00,36,36
1950,21/12/2015 , 21:00:00,35,35
1951,21/12/2015 , 21:15:00,36,36
1952,21/12/2015 , 21:30:00,35,35
1953,21/12/2015 , 21:45:00,36,36
1954,21/12/2015 , 22:00:00,35,35
1955,21/12/2015 , 22:15:00,36,36
1956,21/12/2015 , 22:30:00,35,35
1957,21/12/2015 , 22:45:00,36,36
1958,21/12/2015 , 23:00:00,35,35
1959,21/12/2015 , 23:15:00,36,36
1960,21/12/2015 , 23:30:00,36,36
1961,21/12/2015 , 23:45:00,35,35
1962,21/12/2015 , 24:00:00,36,36
1963,22/12/2015 , 00:15:00,35,35
1964,22/12/2015 , 00:30:00,36,36
1965,22/12/2015 , 00:45:00,36,36
1966,22/12/2015 , 01:00:00,36,36
1967,22/12/2015 , 01:15:00,36,36
1968,22/12/2015 , 01:30:00,35,35
1969,22/12/2015 , 01:45:00,36,36
1970,22/12/2015 , 02:00:00,36,36
1971,22/12/2015 , 02:15:00,36,36
1972,22/12/2015 , 02:30:00,36,36
1973,22/12/2015 , 02:45:00,36,36
1974,22/12/2015 , 03:00:00,36,36
1975,22/12/2015 , 03:15:00,36,36
1976,22/12/2015 , 03:30:00,36,36
1977,22/12/2015 , 03:45:00,36,36
1978,22/12/2015 , 04:00:00,36,36
1979,22/12/2015 , 04:15:00,36,36
1980,22/12/2015 , 04:30:00,36,36
1981,22/12/2015 , 04:45:00,36,36
1982,22/12/2015 , 05:00:00,35,35
1983,22/12/2015 , 05:15:00,36,36
1984,22/12/2015 , 05:30:00,35,35
1985,22/12/2015 , 05:45:00,35,35
1986,22/12/2015 , 06:00:00,36,36
1987,22/12/2015 , 06:15:00,35,35
1988,22/12/2015 , 06:30:00,35,35
1989,22/12/2015 , 06:45:00,35,35
1990,22/12/2015 , 07:00:00,40,40
1991,22/12/2015 , 07:15:00,71,71
1992,22/12/2015 , 07:30:00,433,433
1993,22/12/2015 , 07:45:00,465,465
1994,22/12/2015 , 08:00:00,515,515
1995,22/12/2015 , 08:15:00,598,598
1996,22/12/2015 , 08:30:00,910,910
1997,22/12/2015 , 08:45:00,1161,1161
1998,22/12/2015 , 09:00:00,2933,2933
1999,22/12/2015 , 09:15:00,7421,7421
2000,22/12/2015 , 09:30:00,6597,6597
2001,22/12/2015 , 09:45:00,1946,1946
2002,22/12/2015 , 10:00:00,3413,3413
2003,22/12/2015 , 10:15:00,5005,5005
2004,22/12/2015 , 10:30:00,3608,3608
2005,22/12/2015 , 10:45:00,5240,5240
2006,22/12/2015 , 11:00:00,5545,5545
2007,22/12/2015 , 11:15:00,5775,5775
2008,22/12/2015 , 11:30:00,4880,4880
2009,22/12/2015 , 11:45:00,6391,6391
2010,22/12/2015 , 12:00:00,3551,3551
2011,22/12/2015 , 12:15:00,3179,3179
2012,22/12/2015 , 12:30:00,4275,4275
2013,22/12/2015 , 12:45:00,6312,6312
2014,22/12/2015 , 13:00:00,5416,5416
2015,22/12/2015 , 13:15:00,4365,4365
2016,22/12/2015 , 13:30:00,3570,3570
2017,22/12/2015 , 13:45:00,2928,2928
2018,22/12/2015 , 14:00:00,3379,3379
2019,22/12/2015 , 14:15:00,3013,3013
2020,22/12/2015 , 14:30:00,2833,2833
2021,22/12/2015 , 14:45:00,2775,2775
2022,22/12/2015 , 15:00:00,2077,2077
2023,22/12/2015 , 15:15:00,2109,2109
2024,22/12/2015 , 15:30:00,1740,1740
2025,22/12/2015 , 15:45:00,1386,1386
2026,22/12/2015 , 16:00:00,1754,1754
2027,22/12/2015 , 16:15:00,1867,1867
2028,22/12/2015 , 16:30:00,1008,1008
2029,22/12/2015 , 16:45:00,792,792
2030,22/12/2015 , 17:00:00,510,510
2031,22/12/2015 , 17:15:00,329,329
2032,22/12/2015 , 17:30:00,181,181
2033,22/12/2015 , 17:45:00,116,116
2034,22/12/2015 , 18:00:00,78,78
2035,22/12/2015 , 18:15:00,39,39
2036,22/12/2015 , 18:30:00,35,35
2037,22/12/2015 , 18:45:00,35,35
2038,22/12/2015 , 19:00:00,34,34
2039,22/12/2015 , 19:15:00,35,35
2040,22/12/2015 , 19:30:00,35,35
2041,22/12/2015 , 19:45:00,34,34
2042,22/12/2015 , 20:00:00,35,35
2043,22/12/2015 , 20:15:00,36,36
2044,22/12/2015 , 20:30:00,35,35
2045,22/12/2015 , 20:45:00,35,35
2046,22/12/2015 , 21:00:00,36,36
2047,22/12/2015 , 21:15:00,35,35
2048,22/12/2015 , 21:30:00,35,35
2049,22/12/2015 , 21:45:00,35,35
2050,22/12/2015 , 22:00:00,35,35
2051,22/12/2015 , 22:15:00,35,35
2052,22/12/2015 , 22:30:00,35,35
2053,22/12/2015 , 22:45:00,35,35
2054,22/12/2015 , 23:00:00,36,36
2055,22/12/2015 , 23:15:00,35,35
2056,22/12/2015 , 23:30:00,35,35
2057,22/12/2015 , 23:45:00,35,35
2058,22/12/2015 , 24:00:00,35,35
2059,23/12/2015 , 00:15:00,35,35
2060,23/12/2015 , 00:30:00,36,36
2061,23/12/2015 , 00:45:00,35,35
2062,23/12/2015 , 01:00:00,35,35
2063,23/12/2015 , 01:15:00,35,35
2064,23/12/2015 , 01:30:00,36,36
2065,23/12/2015 , 01:45:00,35,35
2066,23/12/2015 , 02:00:00,35,35
2067,23/12/2015 , 02:15:00,35,35
2068,23/12/2015 , 02:30:00,35,35
2069,23/12/2015 , 02:45:00,35,35
2070,23/12/2015 , 03:00:00,36,36
2071,23/12/2015 , 03:15:00,35,35
2072,23/12/2015 , 03:30:00,36,36
2073,23/12/2015 , 03:45:00,36,36
2074,23/12/2015 , 04:00:00,35,35
2075,23/12/2015 , 04:15:00,36,36
2076,23/12/2015 , 04:30:00,35,35
2077,23/12/2015 , 04:45:00,36,36
2078,23/12/2015 , 05:00:00,35,35
2079,23/12/2015 , 05:15:00,35,35
2080,23/12/2015 , 05:30:00,35,35
2081,23/12/2015 , 05:45:00,35,35
2082,23/12/2015 , 06:00:00,35,35
2083,23/12/2015 , 06:15:00,36,36
2084,23/12/2015 , 06:30:00,35,35
2085,23/12/2015 , 06:45:00,35,35
2086,23/12/2015 , 07:00:00,42,42
2087,23/12/2015 , 07:15:00,89,89
2088,23/12/2015 , 07:30:00,275,275
2089,23/12/2015 , 07:45:00,613,613
2090,23/12/2015 , 08:00:00,732,732
2091,23/12/2015 , 08:15:00,560,560
2092,23/12/2015 , 08:30:00,887,887
2093,23/12/2015 , 08:45:00,919,919
2094,23/12/2015 , 09:00:00,1668,1668
2095,23/12/2015 , 09:15:00,4325,4325
2096,23/12/2015 , 09:30:00,3806,3806
2097,23/12/2015 , 09:45:00,3301,3301
2098,23/12/2015 , 10:00:00,2975,2975
2099,23/12/2015 , 10:15:00,5631,5631
2100,23/12/2015 , 10:30:00,7590,7590
2101,23/12/2015 , 10:45:00,6623,6623
2102,23/12/2015 , 11:00:00,6283,6283
2103,23/12/2015 , 11:15:00,8293,8293
2104,23/12/2015 , 11:30:00,7939,7939
2105,23/12/2015 , 11:45:00,8625,8625
2106,23/12/2015 , 12:00:00,9273,9273
2107,23/12/2015 , 12:15:00,8657,8657
2108,23/12/2015 , 12:30:00,9311,9311
2109,23/12/2015 , 12:45:00,8797,8797
2110,23/12/2015 , 13:00:00,6764,6764
2111,23/12/2015 , 13:15:00,6633,6633
2112,23/12/2015 , 13:30:00,7203,7203
2113,23/12/2015 , 13:45:00,6764,6764
2114,23/12/2015 , 14:00:00,4254,4254
2115,23/12/2015 , 14:15:00,3334,3334
2116,23/12/2015 , 14:30:00,3785,3785
2117,23/12/2015 , 14:45:00,2904,2904
2118,23/12/2015 , 15:00:00,2071,2071
2119,23/12/2015 , 15:15:00,2356,2356
2120,23/12/2015 , 15:30:00,1409,1409
2121,23/12/2015 , 15:45:00,967,967
2122,23/12/2015 , 16:00:00,1011,1011
2123,23/12/2015 , 16:15:00,1133,1133
2124,23/12/2015 , 16:30:00,1092,1092
2125,23/12/2015 , 16:45:00,879,879
2126,23/12/2015 , 17:00:00,560,560
2127,23/12/2015 , 17:15:00,471,471
2128,23/12/2015 , 17:30:00,388,388
2129,23/12/2015 , 17:45:00,195,195
2130,23/12/2015 , 18:00:00,98,98
2131,23/12/2015 , 18:15:00,44,44
2132,23/12/2015 , 18:30:00,35,35
2133,23/12/2015 , 18:45:00,35,35
2134,23/12/2015 , 19:00:00,34,34
2135,23/12/2015 , 19:15:00,34,34
2136,23/12/2015 , 19:30:00,34,34
2137,23/12/2015 , 19:45:00,36,36
2138,23/12/2015 , 20:00:00,35,35
2139,23/12/2015 , 20:15:00,35,35
2140,23/12/2015 , 20:30:00,35,35
2141,23/12/2015 , 20:45:00,35,35
2142,23/12/2015 , 21:00:00,35,35
2143,23/12/2015 , 21:15:00,35,35
2144,23/12/2015 , 21:30:00,36,36
2145,23/12/2015 , 21:45:00,35,35
2146,23/12/2015 , 22:00:00,36,36
2147,23/12/2015 , 22:15:00,35,35
2148,23/12/2015 , 22:30:00,35,35
2149,23/12/2015 , 22:45:00,36,36
2150,23/12/2015 , 23:00:00,35,35
2151,23/12/2015 , 23:15:00,35,35
2152,23/12/2015 , 23:30:00,35,35
2153,23/12/2015 , 23:45:00,35,35
2154,23/12/2015 , 24:00:00,35,35
2155,24/12/2015 , 00:15:00,36,36
2156,24/12/2015 , 00:30:00,35,35
2157,24/12/2015 , 00:45:00,36,36
2158,24/12/2015 , 01:00:00,36,36
2159,24/12/2015 , 01:15:00,36,36
2160,24/12/2015 , 01:30:00,35,35
2161,24/12/2015 , 01:45:00,36,36
2162,24/12/2015 , 02:00:00,36,36
2163,24/12/2015 , 02:15:00,36,36
2164,24/12/2015 , 02:30:00,35,35
2165,24/12/2015 , 02:45:00,36,36
2166,24/12/2015 , 03:00:00,35,35
2167,24/12/2015 , 03:15:00,36,36
2168,24/12/2015 , 03:30:00,36,36
2169,24/12/2015 , 03:45:00,36,36
2170,24/12/2015 , 04:00:00,36,36
2171,24/12/2015 , 04:15:00,36,36
2172,24/12/2015 , 04:30:00,36,36
2173,24/12/2015 , 04:45:00,35,35
2174,24/12/2015 , 05:00:00,36,36
2175,24/12/2015 , 05:15:00,35,35
2176,24/12/2015 , 05:30:00,36,36
2177,24/12/2015 , 05:45:00,36,36
2178,24/12/2015 , 06:00:00,35,35
2179,24/12/2015 , 06:15:00,36,36
2180,24/12/2015 , 06:30:00,36,36
2181,24/12/2015 , 06:45:00,36,36
2182,24/12/2015 , 07:00:00,42,42
2183,24/12/2015 , 07:15:00,79,79
2184,24/12/2015 , 07:30:00,193,193
2185,24/12/2015 , 07:45:00,377,377
2186,24/12/2015 , 08:00:00,810,810
2187,24/12/2015 , 08:15:00,606,606
2188,24/12/2015 , 08:30:00,839,839
2189,24/12/2015 , 08:45:00,805,805
2190,24/12/2015 , 09:00:00,3420,3420
2191,24/12/2015 , 09:15:00,8279,8279
2192,24/12/2015 , 09:30:00,6599,6599
2193,24/12/2015 , 09:45:00,3399,3399
2194,24/12/2015 , 10:00:00,0,0
2195,24/12/2015 , 10:15:00,0,0
2196,24/12/2015 , 10:30:00,0,0
2197,24/12/2015 , 10:45:00,0,0
2198,24/12/2015 , 11:00:00,0,0
2199,24/12/2015 , 11:15:00,0,0
2200,24/12/2015 , 11:30:00,0,0
2201,24/12/2015 , 11:45:00,0,0
2202,24/12/2015 , 12:00:00,0,0
2203,24/12/2015 , 12:15:00,0,0
2204,24/12/2015 , 12:30:00,12,12
